Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
District - Chennai,Rural,35-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Chennai,Rural,60+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Chennai,Rural,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Chennai,Urban,15-34,17431,9836,7595,3102,1981,1121,379,153,226,390,236,154,48,36,12,6,6,0,163,99,64,2028,1454,574,49,44,5,2683,2313,370,2,2,0,1130,798,332,1164,1118,46,250,223,27,7,2,5,380,252,128,280,227,53,1186,837,349,389,151,238,571,121,450,9428,3745,5683
District - Chennai,Urban,35-59,11700,6993,4707,2656,1622,1034,219,108,111,341,220,121,81,66,15,8,5,3,276,120,156,1339,1008,331,75,56,19,3149,2648,501,3,3,0,1043,757,286,1272,1214,58,321,210,111,0,0,0,104,80,24,194,168,26,988,773,215,248,95,153,435,88,347,4260,996,3264
District - Chennai,Urban,60+,1799,966,833,442,266,176,50,23,27,62,37,25,12,12,0,8,6,2,25,11,14,115,86,29,11,9,2,354,257,97,0,0,0,147,84,63,64,58,6,12,6,6,0,0,0,8,6,2,9,9,0,196,175,21,33,15,18,100,18,82,1035,420,615
District - Chennai,Urban,Unknown,69,35,34,11,11,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,3,7,2,5,3,3,0,11,9,2,0,0,0,5,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,43,25,18
District - Kancheepuram,Total,15-34,40080,20955,19125,7544,3942,3602,1649,894,755,20197,9250,10947,670,422,248,127,82,45,789,314,475,5907,3468,2439,70,43,27,5793,3433,2360,0,0,0,846,580,266,1455,1442,13,386,312,74,2,2,0,243,171,72,208,168,40,1060,728,332,553,241,312,735,176,559,6934,3171,3763
District - Kancheepuram,Total,35-59,41279,20372,20907,8169,3701,4468,2147,1266,881,29662,13435,16227,1245,777,468,133,93,40,1032,486,546,2085,1359,726,117,89,28,6926,3552,3374,0,0,0,724,441,283,898,855,43,251,132,119,0,0,0,41,36,5,135,120,15,810,526,284,318,112,206,577,139,438,2347,655,1692
District - Kancheepuram,Total,60+,7960,4538,3422,1850,956,894,552,366,186,6567,3716,2851,280,193,87,15,15,0,209,131,78,87,55,32,6,3,3,1082,487,595,0,0,0,96,46,50,40,32,8,43,26,17,0,0,0,18,18,0,19,17,2,100,86,14,20,9,11,86,33,53,590,261,329
District - Kancheepuram,Total,Unknown,156,96,60,15,7,8,9,2,7,43,17,26,6,6,0,0,0,0,0,0,0,9,6,3,0,0,0,16,7,9,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,76,53,23
